Trial_Name;Dataset;Pruned;accuracy;precision;recall;f1;f2;mcc;S;test_accuracy;test_precision;test_recall;test_f1;test_f2;test_mcc;test_S;mcc_normalized;test_mcc_normalized
BERT_Extra_Layer_Trial_0_2024-12-22_21-26-09;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,945433984;0,908675799;0,914522059;0,911589556;0,913346796;0,872139289;0,892743043;0,937234945;0,915547025;0,876838235;0,895774648;0,884315907;0,851308059;0,867811983;;
BERT_Extra_Layer_Trial_1_2024-12-22_21-40-52;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949674866;0,910649819;0,927389706;0,918943534;0,923992674;0,882534529;0,903263602;0,944020356;0,906764168;0,911764706;0,909257562;0,910760191;0,868790629;0,88977541;;
BERT_Extra_Layer_Trial_2_2024-12-22_21-47-38;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,948261238;0,909502262;0,923713235;0,916552668;0,920835624;0,879119096;0,89997736;0,940910376;0,906567993;0,900735294;0,903642231;0,901895822;0,861042616;0,881469219;;
BERT_Extra_Layer_Trial_3_2024-12-22_21-54-23;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_4_2024-12-22_21-58-08;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_5_2024-12-22_22-01-22;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,948826689;0,924228251;0,908088235;0,916087158;0,911270983;0,879350812;0,895310898;0,94317218;0,918001885;0,895220588;0,906468125;0,899685941;0,865806169;0,882746055;;
BERT_Extra_Layer_Trial_6_2024-12-22_22-15-55;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_7_2024-12-22_22-25-27;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,948543964;0,924157303;0,907169118;0,915584416;0,910516605;0,878660298;0,894588452;0,941193101;0,91509434;0,891544118;0,903165736;0,896156689;0,861101974;0,878629331;;
BERT_Extra_Layer_Trial_8_2024-12-22_22-35-18;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,946847611;0,931861804;0,892463235;0,911737089;0,900074156;0,87415384;0,887113998;0,94317218;0,936945813;0,874080882;0,904422254;0,885969816;0,865112085;0,87554095;;
BERT_Extra_Layer_Trial_9_2024-12-22_22-46-44;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,951653944;0,932139491;0,909007353;0,920428106;0,913541474;0,885859405;0,899700439;0,945999435;0,933333333;0,887867647;0,910032972;0,896602933;0,87204389;0,884323411;;
BERT_Extra_Layer_Trial_10_2024-12-22_22-56-39;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_11_2024-12-22_22-59-53;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_12_2024-12-22_23-03-08;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,947130336;0,910665451;0,918198529;0,914416476;0,91668196;0,876183845;0,896432903;0,945151258;0,916977612;0,903492647;0,910185185;0,906157817;0,870758769;0,888458293;;
BERT_Extra_Layer_Trial_13_2024-12-22_23-09-54;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_14_2024-12-22_23-13-09;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_15_2024-12-22_23-16-24;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_16_2024-12-22_23-20-09;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,951088493;0,912533814;0,930147059;0,921256259;0,926570225;0,885873472;0,906221849;0,944020356;0,910516605;0,907169118;0,908839779;0,907836645;0,868451367;0,888144006;;
BERT_Extra_Layer_Trial_17_2024-12-22_23-26-56;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_18_2024-12-22_23-30-11;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,92507775;0,864481842;0,897058824;0,880469102;0,890348477;0,82623552;0,858291998;0,91631326;0,849823322;0,884191176;0,866666667;0,877097009;0,806057138;0,841577074;;
BERT_Extra_Layer_Trial_19_2024-12-22_23-40-03;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_20_2024-12-22_23-43-49;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_21_2024-12-22_23-47-04;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_22_2024-12-22_23-50-20;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,951371219;0,910394265;0,933823529;0,921960073;0,929041697;0,886801062;0,90792138;0,948826689;0,912647862;0,921875;0,917238226;0,920014676;0,880225874;0,900120275;;
BERT_Extra_Layer_Trial_23_2024-12-22_23-57-07;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,950240317;0,910810811;0,929227941;0,919927207;0,92548517;0,883930481;0,904707826;0,946564885;0,918139535;0,907169118;0,912621359;0,909342178;0,874171087;0,891756632;;
BERT_Extra_Layer_Trial_24_2024-12-23_00-03-54;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_25_2024-12-23_00-07-11;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949109415;0,911231884;0,924632353;0,917883212;0,921920821;0,881065202;0,901493012;0,945999435;0,914893617;0,909007353;0,911940987;0,910178539;0,87301117;0,891594855;;
BERT_Extra_Layer_Trial_26_2024-12-23_00-13-58;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,947978513;0,901420959;0,932904412;0,916892502;0,926433005;0,879323023;0,902878014;0,945716709;0,914814815;0,908088235;0,911439114;0,909425626;0,872316478;0,890871052;;
BERT_Extra_Layer_Trial_27_2024-12-23_00-20-46;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,945999435;0,906618314;0,919117647;0,912825194;0,916590284;0,873755526;0,895172905;0,944303082;0,915191053;0,902573529;0,908838501;0,905069124;0,868786972;0,886928048;;
BERT_Extra_Layer_Trial_28_2024-12-23_00-27-34;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
